x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter_id,bat_handR
72.54847,102.63536,32.72137,149.68695,-70.43922,124.244156,-25.35393,152.05423,-134.1987,266.5903,20.661749,333.9437,139.15273,257.24207,408234,1
66.82571,103.51294,28.277216,151.19398,-76.8187,116.39174,-32.747757,149.67728,-144.34683,245.81573,-10.821851,318.60413,120.40637,251.69247,425794,1
70.71476,103.00937,31.519142,150.11888,-71.27722,123.305725,-27.719168,151.36609,-141.15251,270.6456,8.558955,342.5695,135.47238,266.85492,443558,1
75.758385,101.76013,47.184948,142.9535,-60.70017,133.57866,0.0,155.5,-132.58975,268.35675,-2.7964954,333.68622,136.76794,253.69083,444482,0
63.094276,103.63628,0.0,155.5,-76.78086,116.44371,-44.7023,144.32544,-143.74062,264.39084,-1.1061982,331.02548,129.29848,259.56216,444489,1
66.671364,103.52496,24.00546,152.41702,-73.1533,121.1102,-31.370626,150.17097,-144.30386,270.43542,0.42728838,341.09033,128.71703,267.82697,446334,1
75.385025,101.876816,42.893845,145.26508,-64.28061,130.45001,-4.2465324,155.40504,-128.08253,262.95486,-0.8111966,332.2756,136.95741,256.2949,453568,0
65.1763,103.61049,22.523401,152.79137,-76.27873,117.12646,-34.18392,149.13667,-149.17284,255.0263,-4.8289843,335.0834,129.08922,259.85724,455117,1
66.02309,103.56894,19.770567,153.41998,-72.78269,121.55473,-32.853584,149.63834,-137.01625,269.59128,13.38864,329.8618,136.20029,255.76149,456781,1
61.91283,103.60269,15.388795,154.24533,-75.69738,117.90128,-36.24344,148.31465,-151.15547,262.60004,-6.1278677,336.26218,130.24786,266.0062,457705,1
68.08462,103.3923,31.669971,150.06569,-72.39999,122.00807,-25.846712,151.91635,-140.15825,269.6525,13.617446,333.9399,137.77972,262.239,457759,1
75.88421,101.71991,47.454796,142.7985,-65.72421,129.0954,0.0,155.5,-138.12022,266.85162,-6.691176,339.17587,140.35278,255.3757,458015,0
66.769394,103.517395,26.14525,151.8314,-72.28137,122.147415,-28.131416,151.23932,-133.60735,262.6738,5.2587276,325.9405,132.34598,257.92404,462101,1
76.651054,101.46476,50.324333,141.0758,-59.792572,134.32309,0.0,155.5,-126.12722,272.1018,10.214678,335.7248,145.66171,250.87578,467793,0
66.82921,103.512665,14.436053,154.39676,-73.09459,121.180984,-35.483486,148.62448,-138.08122,268.92975,-2.853703,338.64893,127.26805,267.40906,467793,1
73.99507,102.27641,39.687042,146.81302,-71.12752,123.475204,-16.831667,153.99704,-126.91964,266.70865,12.497229,330.44946,146.17229,249.9661,474832,0
75.05692,101.97605,45.920135,143.66455,-60.288307,133.91881,0.0,155.5,-128.18152,263.07593,-13.250669,329.73773,138.94565,255.45981,488726,0
69.40212,103.22279,29.724861,150.72989,-71.8598,122.638306,-26.313715,151.78302,-139.38885,262.81244,-0.4337689,326.01968,127.674126,256.75726,493329,1
68.03733,103.39756,26.707094,151.6687,-70.70763,123.94629,-25.502035,152.01309,-134.4727,255.57123,4.8473883,320.02618,130.72758,251.3682,500743,1
73.53045,102.39795,39.52231,146.88858,-70.45452,124.22724,-15.652703,154.20161,-127.93446,261.41702,3.695725,329.68658,143.3831,253.31888,500871,0
64.882576,103.6207,10.977889,154.86359,-75.03185,118.76853,-39.28057,146.99876,-143.38571,266.96365,-5.40435,332.89728,129.84554,261.61487,500871,1
73.88725,102.305145,41.085037,146.1564,-68.07126,126.766914,-10.868734,154.87622,-131.28407,257.74323,-2.137156,326.58017,135.08131,251.66243,501303,0
67.44193,103.45891,23.998924,152.41873,-73.48485,120.707794,-31.68576,150.0601,-139.1288,256.33133,-0.81264794,328.702,131.47072,254.98166,501303,1
75.878716,101.72168,38.44223,147.3746,-64.736015,130.02876,-12.38519,154.68921,-127.65515,268.3573,7.6886506,331.58847,146.87013,247.1507,501659,0
69.22543,103.24811,24.679914,152.23822,-72.278755,122.15048,-30.709848,150.39941,-135.45296,256.2916,2.0547166,328.22647,128.3058,246.96976,501659,1
69.25126,103.24446,30.376007,150.51276,-70.01523,124.70956,-26.354359,151.77129,-134.80365,271.58542,15.684332,336.26764,132.31378,265.47784,502054,1
69.1583,103.25752,32.271484,149.85072,-71.852295,122.64699,-26.701216,151.67041,-138.12189,270.37277,5.711827,339.3853,133.84203,267.37134,502110,1
71.440315,102.87207,27.834444,151.33084,-73.00344,121.2906,-28.587729,151.09659,-142.95209,274.51355,9.237845,341.77115,135.01204,265.3628,502671,1
76.62232,101.474625,45.063858,144.13162,-67.600945,127.24663,-3.7085373,155.42758,-129.65651,255.12628,-1.5565379,321.88437,146.31361,242.2758,506702,0
66.42466,103.54295,28.16949,151.22751,-75.23316,118.50838,-29.992567,150.64127,-139.96956,254.55646,-7.0353827,318.9553,124.72327,250.98405,506702,1
58.51278,103.31003,3.213401,155.44563,-76.763664,116.46731,-43.315857,145.0502,-144.30122,254.94003,-9.776435,330.7664,125.21126,260.32248,514888,1
75.69487,101.78026,43.569687,144.91968,-66.93763,127.91183,-8.641783,155.10612,-129.97998,255.38124,-1.9274981,327.40164,135.80225,249.65677,514917,0
67.446465,103.45847,18.44478,153.69223,-74.65967,119.24466,-35.73334,148.52345,-136.34196,262.72296,9.035808,327.73935,131.57657,250.51459,514917,1
