"launch_angle","launch_speed","spray_angle","bat_side","t","x","y"
37,81.8,22.320195429827,"L",5.14192677478548,145.123550241417,264.411090291054
26,95.1,4.59233539272774,"R",4.83268627852599,80.4653746357857,362.156375759438
-27,93.8,-2.96408389810786,"R",0.093646799935727,-0.567692186862654,11.2681008021129
23,98.9,-13.9364558095546,"R",4.62327340557779,-118.35266485574,374.218395717184
12,83,-10.4262227390249,"R",2.00777480829984,-38.8146075512181,196.565054089496
-4,94.5,26.4228736774991,"L",0.348269395282488,21.2056367334325,40.7454845178556
14,76.3,6.35085773408911,"R",2.20485522688401,40.7447263171558,191.795625867825
-8,90.2,-15.1504129942261,"R",0.251225568555513,-8.4745836070722,30.6914967830524
53,76,-18.4381794017495,"L",5.46763245611191,-91.6614799194214,180.117933521565
8,100.4,-22.2887085436255,"R",1.37534916122344,-75.8277281921593,153.365206404373
12,107.4,-33.1911243642567,"R",2.03165755427734,-160.945957123387,181.823243005904
6,68,-15.8173066708725,"R",0.954207775270218,-26.1942922106192,83.6938004917616
1,100.3,-34.5724627273956,"R",0.597210912500382,-48.7630544740386,64.4052471531855
9,107.7,-3.61712493164001,"R",1.85574633320062,-3.80309986186314,235.193151276664
-26,78.4,25.3383926702627,"L",0.114543122539151,5.01222381304817,10.4815413280482
-22,93.1,24.5951728707389,"L",0.112634399952787,5.871173554434,12.6876301920438
8,108.9,-26.2740530644453,"R",1.41398749747812,-96.91202077184,159.646067302973
-17,92.6,-26.455298962551,"R",0.14101683038608,-8.07182257369142,15.9766397819571
-3,98.7,25.1693455126634,"L",0.377597370686476,22.9642873197692,46.4492130735164
-19,62.9,-5.65708666562581,"R",0.179952694663458,-1.49449806367255,15.2990630143082
42,73.5,15.8451029550315,"R",4.87281437071872,97.418068285454,221.323709938199
38,108.4,-18.5707920456581,"R",6.70294830089172,-170.374563637943,366.428971864602
40,92.6,11.4486125266543,"R",5.87448025109094,114.648687087595,302.386478681148
32,80.5,14.3262992414565,"L",4.76806249535913,90.5744213356557,294.398339482359
1,104.3,-15.6552043067626,"R",0.593170573254997,-24.0197528049545,80.574444604358
-36,62.7,34.1958210752296,"L",0.107889390237823,4.45997224111986,6.50429391085132
66,85.1,35.3664322584097,"R",6.0990083064673,104.551255421685,78.9185457925934
-18,76.3,-31.2436057076921,"R",0.159665180507744,-8.72160453650542,14.1383321783503
-28,71.5,-9.14668481903675,"R",0.117149167379244,-1.69392485390498,10.5187624051492
19,83.3,-9.96305319838044,"R",3.31314604132877,-52.1386290699935,280.346380213561
26,103.8,32.910077261366,"L",4.58263705269747,278.183844028952,262.996923765842
9,106.8,-12.924258955336,"R",1.70989112011615,-56.0821666058147,211.785513831699
23,89.8,-9.28712622017892,"L",4.079413962276,-103.742451623492,311.035902133123
47,86.8,12.5136902170603,"R",5.90959802835372,96.0568851210265,249.398014584569
-13,95.5,-18.6706270171505,"R",0.170519944283374,-7.36036342708161,21.4455660327263
29,105.8,-2.05969510919325,"R",5.84656070356989,21.1462446856796,430.223749023008
46,80.5,34.9895841043528,"R",5.27595809107685,178.756218654791,164.228951598868
22,52.3,13.3210714835088,"L",2.29982624213266,35.8044146885193,136.167632626
16,87.5,-26.0273573770081,"R",2.51050781268437,-133.501507619105,201.737577065883
3,95.8,34.5628836805775,"L",0.754986983745518,58.7691968233761,75.8785460958132
21,84.4,-9.35254251917216,"R",3.69700078066706,-50.8372108143398,302.089596061256
30,101,-17.2452646896231,"L",5.32125021696187,-190.1002475396,326.895339266422
