batter_id_hand,batter_index,batter_alpha1,batter_alpha2,batter_beta1,batter_beta2,batter_w1,batter_w2,batter_shift_alpha1,batter_shift_alpha2,batter_shift_beta1,batter_shift_beta2,batter_shift_w1,batter_shift_w2
405395-1,0,2.6583025368502797,1.6022050571166775,7.769231080232554,1.6827811091023166,0.3321957459922832,0.6678042540077169,2.7337797090211065,1.6632834835650259,8.379143736928647,1.5985859314459983,0.39480170575500356,0.6051982942449982
408234-1,1,2.9881580527156864,2.0742160989413136,7.125619434692729,1.64913532410176,0.25889028126699626,0.7411097187330041,4.082560796176846,3.4329858777683024,5.961432325998961,2.2647020354939738,0.2962210848528417,0.7037789151471595
425772-1,2,2.398226457931215,2.7481387566213877,9.056814087834486,1.5206835395589477,0.4380075847053937,0.5619924152946062,3.3343818850535842,2.6783587849348973,7.809743204486671,2.697681822820077,0.38695655712022015,0.6130434428797787
425784-1,3,3.529246160083777,1.8821555900405362,8.424655278926897,1.2089431158643487,0.5439746534404282,0.4560253465595714,3.575775134815111,3.656491714388889,7.605759935930688,1.8113119977228729,0.34016194851084475,0.6598380514891545
425794-1,4,2.559308288764661,2.0429642744844023,8.270602471031859,2.7000364935039296,0.36727335527132593,0.6327266447286748,3.2561843614050354,3.020742540334744,7.826857188580688,2.3633760124998116,0.37429286528349215,0.6257071347165079
425844-1,5,4.120346487622092,3.376228909873589,6.378957354118931,2.1457040712387574,0.3130085909502312,0.6869914090497681,3.263298230641657,3.1802772213151203,7.961648433392353,2.4295760227558807,0.376895070123873,0.6231049298761286
425877-1,6,2.663263086402649,1.831453394603181,7.67633238854925,1.8480372824696656,0.3131915288881278,0.6868084711118724,2.5235275122217375,1.9535422174473027,7.294176326014842,1.6535921286925708,0.31652896932137226,0.6834710306786259
429664-0,7,1.8356162057338858,3.25528010775391,9.972878314068284,2.040725675321118,0.30244901196491913,0.6975509880350813,2.652337034252799,2.3031939460854094,8.112526794664987,1.9721498820183034,0.3896716256406961,0.6103283743593046
435559-1,8,2.7691036690915665,1.8718359936685711,8.121898965380252,2.2008638373965455,0.35116598339955946,0.6488340166004417,2.5584817820153005,1.8069903742986342,9.527091200695256,1.5792650135535597,0.4529296533475305,0.5470703466524699
443558-1,9,2.765832311179531,2.141269720726841,8.259699465564678,1.66736378892354,0.26459510384569856,0.7354048961543017,3.1562105107128406,2.1113178766990877,7.018427057220652,1.7285035320351185,0.28947181916152287,0.7105281808384772
444482-0,10,2.3796746173012098,1.8365922754327264,7.361270364700262,1.7306973045803213,0.2827591867120104,0.7172408132879902,2.391406936179567,1.9328676019590931,6.963159209794448,1.740525356734433,0.24009175403535885,0.759908245964641
444489-1,11,2.9908425662866516,1.8706511514088147,8.38249731955814,1.7425733604266709,0.398523356990389,0.6014766430096119,2.9905898583562296,1.957797549025146,6.76170646550133,2.1310620644419256,0.31606211501348114,0.683937884986518
444876-1,12,2.8695882959311927,2.0023387478518884,7.020431117208275,1.6457018599917528,0.25041870722640974,0.7495812927735902,3.2103170433326684,3.203938889068664,7.796549056339479,1.4915186844159212,0.3726300580200149,0.6273699419799836
445055-0,13,2.5118622174314256,2.72948975441556,8.401931182273655,2.016821731400039,0.34384152972991333,0.6561584702700871,3.9698738345905964,3.3913456699595894,6.4802345388830025,2.0303340234095977,0.3366427409092512,0.6633572590907492
446321-1,14,3.367706795360529,3.5364913345858846,7.407907438781695,1.8316712954778018,0.3161019867655314,0.6838980132344689,3.3514356985648255,3.035673945916444,7.760060606354812,2.4280973477773435,0.3755986468524155,0.6244013531475842
446334-1,15,3.0847211657566844,1.8243729332598846,7.610868766580452,1.5342980992448172,0.33570778341710356,0.6642922165828935,3.259793264108036,2.23819396727781,7.919468795285717,1.7769932639584995,0.3265178517586418,0.6734821482413585
446372-1,16,3.3538843939729532,3.603364256597975,7.553043224596585,1.6710375423833306,0.3083397064474496,0.6916602935525509,3.1825709750223754,3.0211005536575946,7.6039189320856035,2.3967651508968917,0.37166208071050355,0.6283379192894959
446653-0,17,3.262049227005698,2.930080114710155,7.750599729382629,2.172838674989904,0.34742745379325896,0.6525725462067419,3.483198346849633,3.4944400714631962,7.502647772056341,1.984565829630252,0.3482519513893962,0.6517480486106014
446653-1,18,3.658196557350212,3.120382515573728,6.919861397069945,2.0869575248749537,0.33155389154593135,0.6684461084540702,3.3674736377674535,3.0999904248798535,7.823977927709666,2.372855603659617,0.3741131029951912,0.6258868970048072
448179-0,19,2.254398382635659,2.6130366879456464,8.067215824348853,2.2140601602562753,0.3517337761500074,0.6482662238499928,3.1959557273208965,3.041882543259405,7.769886662633985,2.363787678563852,0.3715912399330026,0.6284087600669991
450203-1,20,3.406100276515237,2.732585206424669,7.842384640691954,1.4536090482066515,0.3692778651500812,0.6307221348499208,3.2190016252261247,3.0503345347075523,7.808069947022478,2.3529841843656447,0.37751105566971377,0.6224889443302868
451594-0,21,3.3907915961514594,2.97869807061734,7.4593047897988995,2.01430470555007,0.3419275602176955,0.6580724397823043,2.5438949266952626,3.533003169006476,8.518612926649428,1.88300791130369,0.3270486995111338,0.6729513004888666
451594-1,22,3.3099818473657145,2.5586044101650036,7.409398512076438,2.4554444223270475,0.349819178515949,0.6501808214840514,3.3329843390054825,2.9807897101148813,7.746933034821015,2.4148245732802405,0.3834571247716952,0.6165428752283056
452657-0,23,3.815664931704506,2.360612579238113,6.696373157484823,2.4356153247949663,0.3445142017433046,0.6554857982566951,3.257387683522487,3.0372921476819035,7.7546723336823336,2.2948889566829145,0.38392192940012576,0.6160780705998742
452678-0,24,2.8108070492582984,2.3483160052866716,6.889876565902038,2.6785643912237527,0.3154490461993843,0.6845509538006157,2.2990117597579145,1.5990465032222436,8.422048002090257,2.0965037951937537,0.4025519202419667,0.5974480797580322
452678-1,25,2.8141810092734345,2.0908638026440594,7.539336477575328,1.8078716902595042,0.3181218278896169,0.6818781721103832,3.6598731115068897,2.317653618892853,7.657086501853737,2.5750352995502075,0.4239618119057886,0.5760381880942113
453268-1,26,3.3908409585185173,2.7026970768880445,7.737413158329688,2.442992465625052,0.38430984337358853,0.6156901566264126,3.3564079642764395,2.9779908873091396,7.759296530280023,2.328707162878304,0.37490361501556024,0.62509638498444
453281-0,27,2.931195011862973,2.78074682086849,7.5603674982093825,1.1355312915925593,0.3174125862428669,0.6825874137571337,3.310936973855903,3.1379089264351587,7.661349172167103,2.342026437597862,0.3739087283331933,0.6260912716668077
453286-1,28,3.903901727971996,3.07873556316159,6.021087155273509,2.013458960726556,0.26729983785715417,0.7327001621428453,3.3000206846346565,3.0307535181407674,7.71165529580294,2.366513990375519,0.37289731194037,0.6271026880596308
453527-1,29,2.440398699720555,2.3769673413745873,8.485554766979819,2.3857968967577556,0.3808837371150506,0.6191162628849499,3.736012562436943,2.90798848589799,7.289625811007242,2.6027563208059257,0.38116425504532886,0.6188357449546711
453562-1,30,3.5168604314168475,2.716611756697254,7.28145365663234,1.898831045842571,0.36640878300245816,0.6335912169975423,3.249948573758212,3.1417593693536725,7.994791837119205,2.381989870321978,0.3838671522863003,0.6161328477137014
453568-0,31,2.623251192126772,1.983725655604709,6.7945585124901005,1.9500282885712121,0.24787308147865497,0.7521269185213444,2.1286055066769944,1.7507179499946708,6.96568033324168,1.7983310530686807,0.2529071869263096,0.7470928130736915
